,location,area_m2,restrooms,bedrooms,price_usd,total_rooms,price_per_sq
1569,"Casa en Venta Tomas Alva Dison #228, Casa B
, Toluca De Lerdo, México",239,2,3,105000,5,439.3305439330544
1571,"Casa en Venta Av. Santa Elena Al 100
, Toluca De Lerdo, México",50,1,2,28450,3,569
1572,"Casa en Venta Jose Vicente Villada #101
, Toluca De Lerdo, México",245,3,4,154750,7,631.6326530612245
1573,"Casa en Venta Azaleas #0
, Toluca De Lerdo, México",120,2,3,38750,5,322.9166666666667
1574,"Casa en Venta Toluca De Lerdo, México",400,4,6,345000,10,862.5
1575,"Casa en Venta Real Santa Clara #sn
, Toluca De Lerdo, México",90,2,3,54850,5,609.4444444444445
1576,"Casa en Venta Carretera Toluca-naucalpan #1702
, Toluca De Lerdo, México",218,4,3,68000,7,311.92660550458714
1577,"Casa en Venta Toluca De Lerdo, México",255,2,7,172500,9,676.4705882352941
1578,"Casa en Venta Avenida Jinetes #0
, Toluca De Lerdo, México",290,5,3,162500,8,560.3448275862069
1579,"Casa en Venta Antiguo Camino A San Lorenzo #200
, Toluca De Lerdo, México",180,2,3,48341.05,5,268.5613888888889
1580,"Casa en Venta Felipe Berriozabal #00
, Toluca De Lerdo, México",850,4,5,159900,9,188.11764705882354
1581,"Casa en Venta Josué Mirlo
, Toluca De Lerdo, México",310,1,3,126132.8,4,406.88
1582,"Casa en Venta Alberto Einstein #202, 10
, Toluca De Lerdo, México",200,3,3,75000,6,375
1583,"Casa en Venta Hacienda Del Valle
, Toluca De Lerdo, México",120,2,3,71450,5,595.4166666666666
1584,"Casa en Venta Av Independencia #143
, Toluca De Lerdo, México",160,2,2,19100,4,119.375
1585,"Casa en Venta Azaleas #0
, Toluca De Lerdo, México",100,1,3,27987.65,4,279.8765
1587,"Casa en Venta Adolfo Lopez Mateos #146, 0000
, Toluca De Lerdo, México",140,2,3,59933.2,5,428.0942857142857
1588,"Casa en Venta Toluca De Lerdo, México",850,3,5,159900,8,188.11764705882354
1589,"Casa en Venta Juan Silveti #102
, Toluca De Lerdo, México",62,1,2,37620,3,606.7741935483871
1590,"Casa en Venta Fuente De Giovani #107
, Toluca De Lerdo, México",56,1,2,35637.5,3,636.3839285714286
1591,"Casa en Venta Camino Al Panteón #205, Toluca De Lerdo, México",250,4,3,212500,7,850
1592,"Casa en Venta Pensador Mexicano 302pte
, Toluca De Lerdo, México",121,1,2,89550,3,740.0826446280992
1593,"Casa en Venta La Magdalena, Toluca De Lerdo",402,3,3,530750,6,1320.273631840796
1594,"Casa en Venta Circuito Hacienda La Laguna #0
, Toluca De Lerdo, México",91,1,2,82150,3,902.7472527472528
1595,"Casa en Venta Alberto Einstein #202
, Toluca De Lerdo, México",200,3,3,75000,6,375
1596,"Casa en Venta San Marcos #00
, Toluca De Lerdo, México",121,3,3,24272,6,200.59504132231405
1597,"Casa en Venta Toluca De Lerdo, México",200,5,4,54000,9,270
1598,"Casa en Venta Eulalia Peñaloza
, Federal (adolfo López Mateos), Toluca De Lerdo",226,3,3,112648.9,6,498.44646017699114
1599,"Casa en Venta Geologos #120
, Toluca De Lerdo, México",120,2,2,44950,4,374.5833333333333
1600,"Casa en Venta Circuito Hacienda La Laguna #00
, Toluca De Lerdo, México",143,2,3,65550,5,458.3916083916084
